date,open,high,low,close,volume
2019-11-27 07:00:00,146.0,146.0,146.0,146.0,0.01
2019-11-27 08:00:00,125.03,145.01,125.03,133.0,0.08
2019-11-27 09:00:00,133.0,133.0,133.0,133.0,0.0
2019-11-27 10:00:00,142.2,144.52,142.1,142.62,2832.71
2019-11-27 11:00:00,142.7,146.92,142.22,146.58,9079.8
2019-11-27 12:00:00,146.53,149.34,145.73,147.38,7587.04
2019-11-27 13:00:00,147.38,148.51,147.26,148.26,8692.13
2019-11-27 14:00:00,148.35,149.14,146.8,147.65,9644.84
2019-11-27 15:00:00,147.61,151.64,147.32,150.65,8928.03
2019-11-27 16:00:00,150.72,153.58,148.33,152.6,9478.53
2019-11-27 17:00:00,152.94,154.93,152.06,153.63,9082.12
2019-11-27 18:00:00,153.66,155.5,152.84,153.03,7819.33
2019-11-27 19:00:00,153.01,154.92,152.84,153.87,8705.97
2019-11-27 20:00:00,153.84,155.66,152.91,153.23,9246.32
2019-11-27 21:00:00,153.13,153.71,152.03,153.44,8738.5
2019-11-27 22:00:00,153.29,154.29,152.63,152.63,7622.78
2019-11-27 23:00:00,152.61,153.5,152.3,152.52,8453.65
2019-11-28 00:00:00,154.29,154.47,154.21,154.21,36.52
2019-11-28 01:00:00,154.23,154.23,146.41,146.62,2207.0
2019-11-28 02:00:00,147.86,156.52,147.86,150.62,1467.27
2019-11-28 03:00:00,150.62,153.09,150.43,152.03,4733.42
2019-11-28 04:00:00,151.93,152.45,151.16,151.49,4319.32
2019-11-28 05:00:00,151.46,151.83,150.18,151.15,5465.57
2019-11-28 06:00:00,151.15,153.02,150.45,152.17,5652.59
2019-11-28 07:00:00,152.17,152.72,151.47,151.98,5889.24
2019-11-28 08:00:00,152.04,152.76,151.47,152.7,6100.715
2019-11-28 09:00:00,152.7,152.72,151.24,152.21,5234.2
2019-11-28 10:00:00,152.14,152.14,149.63,150.81,5436.88
2019-11-28 11:00:00,150.81,151.75,150.45,151.43,4931.9
2019-11-28 12:00:00,151.43,151.43,149.95,150.46,5998.32
2019-11-28 13:00:00,150.46,151.19,150.13,150.84,4741.79
2019-11-28 14:00:00,150.84,151.03,150.13,150.66,5173.76
2019-11-28 15:00:00,150.72,154.51,150.53,153.78,5348.16
2019-11-28 16:00:00,153.78,153.95,152.46,153.68,5282.14
2019-11-28 17:00:00,153.65,153.69,152.8,153.39,6339.69
2019-11-28 18:00:00,153.33,153.95,152.97,153.17,5099.04
2019-11-28 19:00:00,153.19,153.85,153.12,153.5,4725.87
2019-11-28 20:00:00,153.54,154.0,151.75,151.9,5832.7
2019-11-28 21:00:00,151.9,152.26,151.11,151.74,4650.63
